NU_ANO;CO_CURSO;DS_VT_ACE_OFG;DS_VT_ACE_OCE;NT_FG_D1_CT;NT_FG_D2_CT;NT_CE_D1;NT_CE_D2;NT_CE_D3
2022;13090;11111110;090191111910119101011111019;50;75;60;63.3;80
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;;;;;;;
2022;13107;01111011;010000091000000990000000000;62.5;75;0;30;0
2022;13107;00100001;010100090000101990010000010;50;50;20;20;50
2022;13107;01110000;110000190000001990010000000;62.5;62.5;20;40;40
2022;13107;11100001;110101090100010990000000000;50;0;20;50;20
2022;13107;11100001;000000190001101990010001100;62.5;0;20;90;50
2022;13107;01100101;101000090001011991010000001;62.5;62.5;10;10;30
2022;13107;01110001;110011090101010991010111101;87.5;87.5;0;0;10
2022;13107;01110100;111110190100110990011110101;50;75;10;50;30
2022;13107;01111111;110001091001111991100010111;25;75;10;10;50
2022;13107;11111100;111001191001111990010110101;50;62.5;40;10;0
2022;13107;11101001;110111190110001990111110000;62.5;87.5;50;60;30
2022;13107;01110111;011001091101011990110011101;75;75;10;80;50
2022;13107;11101001;111100090100111991111011101;37.5;75;50;30;20
2022;13107;11110001;110011090111110990110111111;75;87.5;10;20;80
2022;13107;11111011;110011190111111990110111001;37.5;75;10;40;20
2022;13107;11110011;111011191010111991111001100;62.5;50;10;60;50
2022;13107;01111111;111111191010111991110100111;37.5;0;0;0;30
2022;13107;01111101;110101091101111991101110100;75;87.5;50;60;30
2022;13107;11110111;001110090111111991110011101;62.5;87.5;60;30;60
2022;13107;01101100;111100190111011991111111101;75;75;20;30;50
2022;13107;11101000;111111090011111991111001111;75;75;50;20;30
2022;13107;01101101;100101191011111990111111101;75;87.5;30;40;40
2022;13107;11011101;010011191011111991111111101;75;75;0;10;10
2022;13107;01111111;110101091111111990111010101;75;87.5;60;30;10
2022;13107;01100101;111111191011111991011111011;75;75;0;10;70
2022;13107;01100001;110111191011011991111111111;100;75;0;40;60
2022;13107;01111111;111101091101111991110001111;100;75;80;40;10
2022;13107;11111101;110111191110111991110010111;87.5;75;40;20;30
2022;13107;11111101;111101190111111990110011111;62.5;87.5;20;30;80
2022;13107;11111111;110111090110111990111111111;100;87.5;10;40;50
2022;13107;11111011;111101191111111990101001111;62.5;87.5;50;70;70
2022;13107;11101101;111011091110111991111111111;87.5;75;10;40;60
2022;13107;11100110;110011191111111991111100111;75;100;60;100;70
2022;13107;01111111;011111190110111991111111111;50;62.5;40;30;60
2022;13107;01111111;111010190111111991111110111;75;100;40;40;70
2022;13107;11111111;011011191111111991111110111;75;87.5;70;10;0
2022;13107;00111111;111101191101111991111111101;87.5;75;70;40;80
2022;13107;11111101;111111091111111991111101111;62.5;87.5;30;10;70
2022;13107;11111111;101111091111111991111110111;75;25;90;30;70
2022;13107;11111111;111101191111111991111110111;62.5;87.5;50;10;50
2022;13107;01011111;111110191111110991111110111;100;100;80;80;70
2022;13107;01111011;111101191111111991111111111;50;100;70;20;70
2022;13107;11110111;111111191110111991111111111;62.5;75;40;80;60
2022;13107;01111101;111111191111111991111111111;50;87.5;80;70;60
2022;13107;11111111;111111191111111991111111111;62.5;75;80;70;70
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;;;;;;;
2022;13113;01010101;910101011001111890011000011;0;0;60;10;0
2022;13113;11011101;910100011011110891001110100;0;62.5;12.5;10;0
2022;13113;11001001;911000101001101891011110010;62.5;75;12.5;10;37.5
2022;13113;11101111;911101110000111890011000011;75;100;25;0;15
2022;13113;11110011;911101111000011891011000010;75;87.5;47.5;40;37.5
2022;13113;01111111;910001111111011891010100101;0;50;50;10;25
2022;13113;11110111;911101111110111890000110000;50;75;12.5;40;25
2022;13113;00101111;900101101110111891011000110;75;62.5;57.5;50;72.5
2022;13113;01111101;910101101000110890110011110;100;100;25;10;87.5
2022;13113;01110101;901101111110110891001001110;62.5;87.5;50;100;47.5
2022;13113;01110011;911001101010111891101010111;62.5;100;12.5;60;37.5
2022;13113;01110111;910001111011110890100101101;87.5;75;70;80;75
2022;13113;01111111;901001111110110891011011100;100;75;60;40;50
2022;13113;11100111;910101110111111891110011000;100;25;47.5;50;87.5
2022;13113;11110001;911101000111110891111111111;50;62.5;37.5;10;37.5
2022;13113;11111101;911111111100110891110100111;37.5;75;60;10;15
2022;13113;11111101;910101100111111891011101110;50;87.5;37.5;50;47.5
2022;13113;00111111;910101111101111891010011110;62.5;75;60;80;60
2022;13113;11111101;900101011101111891111101111;50;75;50;10;37.5
2022;13113;11100101;911101110111110891111101101;87.5;100;37.5;20;60
2022;13113;11011111;901101111111111891011100110;37.5;75;60;80;52.5
2022;13113;01111011;911101101111101891011110111;75;87.5;60;30;37.5
