"NU_ANO","CO_CURSO","NU_ITEM_OFG","NU_ITEM_OFG_Z","NU_ITEM_OFG_X","NU_ITEM_OFG_N","NU_ITEM_OCE","NU_ITEM_OCE_Z","NU_ITEM_OCE_X","NU_ITEM_OCE_N","DS_VT_GAB_OFG_FIN","DS_VT_GAB_OCE_FIN","DS_VT_ESC_OFG","DS_VT_ACE_OFG","DS_VT_ESC_OCE","DS_VT_ACE_OCE","TP_PRES","TP_PR_GER","TP_PR_OB_FG","TP_PR_DI_FG","TP_PR_OB_CE","TP_PR_DI_CE","TP_SFG_D1","TP_SFG_D2","TP_SCE_D1","TP_SCE_D2","TP_SCE_D3","NT_GER","NT_FG","NT_OBJ_FG","NT_DIS_FG","NT_FG_D1","NT_FG_D1_PT","NT_FG_D1_CT","NT_FG_D2","NT_FG_D2_PT","NT_FG_D2_CT","NT_CE","NT_OBJ_CE","NT_DIS_CE","NT_CE_D1","NT_CE_D2","NT_CE_D3","CO_RS_I1","CO_RS_I2","CO_RS_I3","CO_RS_I4","CO_RS_I5","CO_RS_I6","CO_RS_I7","CO_RS_I8","CO_RS_I9"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","ADACAEBC","01110101","CAACBEDDACDAACDACABBCCEDDBE","111091101119019911119019110",555,555,555,555,555,555,555,555,555,555,333,"64.1","49.9","62.5",31,"25.5","77.5","12.5","36.5","32.5","37.5","68.8","76.2","26.7",30,50,0,"C","B","B","D","C","D","B","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","ADACDEDC","01111111","CAADADDEACAABCEEEABBEAEADAE","111090111109119901119019100",555,555,555,555,555,555,555,555,555,555,333,"65.2","75.8","87.5","58.3","75.5","77.5",75,41,55,"37.5","61.7","66.7","33.3",0,100,0,"C","B","B","A","D","C","B","D","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDAEDEDC",11101111,"CAACBEDCACDEBCCACCBDAEADDAE","111091101119119910109109100",555,555,555,555,555,555,555,555,333,555,555,"65.5","69.3","87.5",42,43,65,"37.5",41,55,"37.5","64.2","66.7",50,0,100,50,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDACDECC",11111101,"CAACDADDBCDABCCAEADBCCEADBD","111090100119119901019019111",555,555,555,555,555,555,555,555,555,555,555,"67.5","78.7","87.5","65.5","55.5","77.5",50,"75.5","77.5",75,"63.7","66.7","46.7",40,50,50,"C","B","C","A","D","D","A","D","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","ADACCEDC","01110111","CAACADDEACBABDEACADBEEEDDBD","111090111109109911019119111",555,555,555,555,555,555,555,555,555,555,555,"71.1","74.1",75,"72.8",60,100,50,"85.5","77.5","87.5","70.1","76.2","35.6","56.7",50,0,"C","C","B","A","B","B","A","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","DDACBEDC","01110111","CAABADDEBADDBCECEADBEEEDDED","111190110019119901019119101",555,555,555,555,555,555,555,555,555,555,555,"72.3","71.8",75,67,53,65,50,81,55,"87.5","72.4","71.4","77.8","83.3",100,50,"D","A","C","B","D","C","B","D","B"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","BDACAEDC",11110111,"CCABABAEACDDBCECCABBCAEBDBE","101190011119119911119019110",555,555,555,555,555,555,555,555,555,555,555,"72.7","77.9","87.5","63.5","53.5","67.5",50,"73.5","67.5",75,71,"76.2","41.7",0,50,75,"D","C","B","A","D","C","B","C","B"
2022,1132074,8,0,0,0,27,1,0,0,"BDACDEDC","ABDCDCBCCAADCDDEECXDBDEAEBC",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1132074,8,0,0,0,27,1,0,0,"BDACDEDC","ABDCDCBCCAADCDDEECXDBDEAEBC",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1132074,8,0,0,0,27,1,0,0,"BDACDEDC","ABDCDCBCCAADCDDEECXDBDEAEBC",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1132074,8,0,0,0,27,1,0,0,"BDACDEDC","ABDCDCBCCAADCDDEECXDBDEAEBC",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1132074,8,0,0,0,27,1,0,0,"BDACDEDC","ABDCDCBCCAADCDDEECXDBDEAEBC",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1132074,8,0,0,0,27,1,0,0,"BDACDEDC","ABDCDCBCCAADCDDEECXDBDEAEBC",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1132074,8,0,0,0,27,1,0,0,"BDACDEDC","ABDCDCBCCAADCDDEECXDBDEAEBC",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
